year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brands,car_names,variants,insurance
2016,675000,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8 kmpl,1497 CC,117.3 bhp,5.0,Honda,City,i VTEC V,Comprehensive
2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Baleno,Delta,Third Party
2017,850000,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza ZDi Plus,Comprehensive
2018,640000,6001,Petrol,Dealer,Manual,First Owner,15.9 kmpl,1496 CC,120.69 bhp,5.0,Ford,Ecosport,1.5 Petrol Ambiente,Comprehensive
2013,250000,80000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0,Tata,Indigo,CS LS (TDI) BS-III,Third Party
2018,1250000,12000,Diesel,Individual,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,5.0,Renault,Duster,110PS Diesel RxZ,Comprehensive
2017,889000,25000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,121.31 bhp,5.0,Ford,EcoSport,1.5 Petrol Titanium BSIV,Third Party
2017,750000,40000,Diesel,Individual,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,Hyundai,i20,2015-2017 Asta Option 1.4 CRDi,Comprehensive
2010,320000,130000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1248 CC,75 bhp,5.0,Maruti,Swift,Ldi BSIV,Comprehensive
2011,600000,202000,Diesel,Individual,Manual,First Owner,17.67 kmpl,1968 CC,138.08 bhp,5.0,Skoda,Yeti,Ambition 4WD,Third Party
2018,1000000,40000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Ciaz,S 1.3,Comprehensive
2000,110000,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,5.0,Maruti,Zen,LX,Third Party
2008,250000,120000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,5.0,Honda,City,2017-2020 GXi,Comprehensive
2015,600000,60000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire VDI,Comprehensive
2009,165000,60000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,5.0,Maruti,Zen,Estilo LXI BS IV,Third Party
2004,118000,60000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LXI,Comprehensive
2016,700000,78000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,5.0,Maruti,Baleno,Delta 1.3,Third Party
2013,585000,80000,Diesel,Individual,Manual,Second Owner,20.46 kmpl,1461 CC,83.8 bhp,5.0,Renault,Duster,85PS Diesel RxL Optional,Comprehensive
2006,120000,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LXi,Comprehensive
2003,65000,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,4.0,Maruti,800,Std MPFi,Third Party
2006,150000,100000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LX,Comprehensive
2009,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,Std,Third Party
2004,170000,160000,Diesel,Individual,Manual,Third Owner,13.1 kmpl,1493 CC,82 bhp,5.0,Hyundai,Accent,VIVA CRDi,Comprehensive
2006,250000,120000,Diesel,Individual,Manual,Third Owner,10.5 kmpl,2179 CC,120 bhp,8.0,Mahindra,Scorpio,2.6 CRDe,Comprehensive
2005,100000,100000,Diesel,Individual,Manual,Third Owner,13.1 kmpl,1493 CC,82 bhp,5.0,Hyundai,Accent,CRDi,Third Party
2013,599000,60000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,Maruti,Ertiga,VDI,Comprehensive
2010,250000,135000,Diesel,Individual,Manual,Third Owner,18.3 kmpl,1991 CC,147.9 bhp,5.0,Chevrolet,Cruze,LTZ,Third Party
2016,570000,90000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Swift,VXI Optional,Comprehensive
2013,440000,75000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,5.0,Volkswagen,Polo,Diesel Highline 1.2L,Comprehensive
2005,300000,185000,Diesel,Individual,Manual,Second Owner,11.4 kmpl,2494 CC,100.6 bhp,7.0,Toyota,Innova,2.5 E Diesel MS 7-seater,Third Party
2015,300000,71717,Petrol,Individual,Automatic,Second Owner,19.34 kmpl,1198 CC,76 bhp,5.0,Nissan,Micra,XV CVT,Comprehensive
2011,500000,150000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8.0,Mahindra,Scorpio,VLX 2WD ABS AT BSIII,Third Party
2016,660000,55000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire VDI,Comprehensive
2012,256000,90000,Petrol,Individual,Manual,Second Owner,15.3 kmpl,1596 CC,99.6 bhp,5.0,Ford,Fiesta,Classic 1.6 Duratec LXI,Comprehensive
2018,409999,35000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5.0,Renault,KWID,1.0 RXT Optional,Third Party
2015,1888000,120000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,7.0,Toyota,Fortuner,4x4 MT,Comprehensive
2011,250000,100000,LPG,Individual,Manual,Second Owner,13.45 km/kg,1086 CC,62.1 bhp,5.0,Hyundai,Santro,Xing GLS LPG,Third Party
2009,280000,40000,Petrol,Individual,Automatic,Third Owner,12.9 kmpl,1799 CC,130 bhp,5.0,Honda,Civic,1.8 V AT,Comprehensive
2010,300000,100000,Diesel,Individual,Manual,First Owner,13.0 kmpl,2489 CC,95 bhp,8.0,Mahindra,Xylo,D2,Comprehensive
2016,900000,120000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,5.0,Tata,Safari,Storme LX,Third Party
2014,190000,60000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,5.0,Maruti,Zen,Estilo VXI BSIV,Comprehensive
2019,800000,2000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,9.0,Mahindra,Bolero,Power Plus Plus AC BSIV PS,Third Party
2012,450000,100000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2523 CC,75 bhp,8.0,Mahindra,Scorpio,EX,Comprehensive
2015,400000,110000,Diesel,Individual,Manual,First Owner,14.95 kmpl,2489 CC,93.7 bhp,7.0,Mahindra,Xylo,D2 BS III,Comprehensive
2009,150000,90000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,7.0,Tata,New,Safari Dicor VX 4X2 BS IV,Third Party
2011,200000,84321,Diesel,Individual,Manual,First Owner,23.57 kmpl,1396 CC,70 bhp,5.0,Tata,Indigo,CR4,Comprehensive
2013,600000,177000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0,Mahindra,XUV500,W8 AWD,Third Party
2010,175000,60000,Diesel,Individual,Manual,First Owner,18.0 kmpl,1248 CC,75 bhp,5.0,Tata,Indica,Vista Aqua 1.3 Quadrajet,Comprehensive
2008,99000,205000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1396 CC,69 bhp,5.0,Tata,Indigo,CS LE (TDI) BS-III,Comprehensive
2008,215000,70000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,Hyundai,i10,Asta,Third Party
2013,520000,126000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5.0,Renault,Duster,110PS Diesel RxL,Comprehensive
2016,2280000,120000,Diesel,Individual,Automatic,Second Owner,10.91 kmpl,3198 CC,197 bhp,7.0,Ford,Endeavour,3.2 Titanium AT 4X4,Third Party
2015,285000,70000,Diesel,Individual,Manual,First Owner,19.1 kmpl,1405 CC,70 bhp,5.0,Tata,Indica,Vista TDI LS,Comprehensive
2017,660000,82000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0,Mahindra,TUV,300 T4 Plus,Comprehensive
2004,31504,110000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,4.0,Maruti,800,Std,Third Party
2015,515000,45000,Petrol,Individual,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0,Maruti,Swift,Dzire VXI,Comprehensive
2012,295000,70000,Diesel,Individual,Manual,Second Owner,21.64 kmpl,1461 CC,84.8 bhp,5.0,Nissan,Sunny,Diesel XL,Third Party
2015,700000,80000,Diesel,Individual,Manual,Second Owner,20.45 kmpl,1461 CC,83.8 bhp,5.0,Nissan,Terrano,XL 85 PS,Comprehensive
2017,1100000,45000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2179 CC,120 bhp,7.0,Mahindra,Scorpio,Intelli Hybrid S6 Plus,Comprehensive
2017,300000,60000,Petrol,Individual,Manual,First Owner,20.3 kmpl,998 CC,68.05 bhp,5.0,Hyundai,EON,1.0 Era Plus,Third Party
2013,450000,41800,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,85.8 bhp,5.0,Maruti,Swift,VXI,Comprehensive
2017,700000,50000,Diesel,Individual,Manual,Second Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,Maruti,Swift,Dzire VDI,Third Party
2012,250000,40000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0,Ford,Figo,Diesel ZXI,Comprehensive
2009,140000,96000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5.0,Maruti,Wagon,R LXI Minor,Comprehensive
2012,250000,117000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,8.0,Mahindra,Xylo,D4 BSIII,Third Party
2011,210000,110000,Petrol,Individual,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0,Hyundai,i10,Era,Comprehensive
2014,420000,100000,Diesel,Individual,Manual,Second Owner,25.8 kmpl,1498 CC,98.6 bhp,5.0,Honda,Amaze,S i-Dtech,Third Party
2007,130000,88700,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LXi,Comprehensive
2012,320000,70000,Petrol,Individual,Manual,Second Owner,16.95 kmpl,1498 CC,97.7 bhp,5.0,Nissan,Sunny,XL,Comprehensive
2010,200000,110000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,1061 CC,64 bhp,5.0,Maruti,Wagon,R LX BSIII,Third Party
2016,310000,15000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,Maruti,Alto,800 LXI,Comprehensive
2012,200000,80000,Diesel,Individual,Manual,Second Owner,20.8 kmpl,1461 CC,65 bhp,5.0,Mahindra,Verito,1.5 D4 BSIII,Third Party
2014,350000,50000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,85.80 bhp,5.0,Maruti,Ritz,VXi,Comprehensive
2018,444000,15000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,5.0,Hyundai,EON,Sportz,Comprehensive
2017,300000,25000,Petrol,Individual,Manual,First Owner,22.7 kmpl,799 CC,53.64 bhp,5.0,Datsun,RediGO,T,Third Party
2011,225000,57000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,5.0,Mahindra,Verito,1.5 D4 BSIII,Comprehensive
2012,600000,75000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,7.0,Mahindra,Bolero,2011-2019 ZLX,Third Party
2013,260000,26000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,5.0,Maruti,Eeco,5 Seater AC BSIV,Comprehensive
2015,375000,160000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1120 CC,71.01 bhp,5.0,Hyundai,Xcent,1.1 CRDi S Option,Comprehensive
2010,150000,120000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LXi BSIII,Third Party
2014,110000,50000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LXi,Comprehensive
2012,225000,40000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,5.0,Maruti,Alto,LX,Third Party
2017,860000,28000,Petrol,Individual,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5.0,Honda,City,i VTEC V,Comprehensive
2018,650000,50000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,Maruti,Swift,Dzire LDI,Comprehensive
2014,650000,90000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.8 bhp,7.0,Maruti,Ertiga,ZDI,Third Party
2016,710000,40000,Diesel,Individual,Manual,First Owner,24.8 kmpl,1396 CC,88.7 bhp,5.0,Hyundai,Verna,1.4 CRDi,Comprehensive
2017,430000,113000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,5.0,Ford,Figo,1.5D Base MT,Third Party
2011,305000,188000,Diesel,Individual,Manual,Second Owner,17.8 kmpl,1248 CC,75 bhp,5.0,Maruti,Swift,Vdi BSIII,Comprehensive
2011,220000,100000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0,Ford,Figo,Diesel Titanium,Comprehensive
2010,150000,225000,Diesel,Individual,Manual,Third Owner,14.0 kmpl,1948 CC,90 bhp,9.0,Tata,Sumo,MKII Turbo 2.0 LX,Third Party
2017,660000,67000,Diesel,Individual,Manual,Second Owner,18.49 kmpl,1493 CC,100 bhp,7.0,Mahindra,TUV,300 mHAWK100 T8,Comprehensive
2011,140000,70000,Diesel,Individual,Manual,Fourth & Above Owner,25.44 kmpl,936 CC,57.6 bhp,5.0,Chevrolet,Beat,Diesel LT Option,Third Party
2015,1100000,50000,Petrol,Individual,Manual,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0,Toyota,Corolla,Altis JS MT,Comprehensive
2013,2450000,60000,Diesel,Individual,Automatic,First Owner,16.36 kmpl,2179 CC,187.7 bhp,5.0,Jaguar,XF,2.2 Litre Luxury,Comprehensive
2017,625000,34000,Diesel,Individual,Automatic,First Owner,22.0 kmpl,1498 CC,108.495 bhp,5.0,Volkswagen,Ameo,1.5 TDI Comfortline AT,Third Party
2004,198000,110000,Petrol,Individual,Manual,Third Owner,12.8 kmpl,1493 CC,100 bhp,5.0,Honda,City,1.5 GXI,Comprehensive
2005,130000,140000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0,Maruti,Wagon,R LXI,Third Party
2012,540000,100000,Petrol,Individual,Manual,Second Owner,16.8 kmpl,1497 CC,116.3 bhp,5.0,Honda,City,Corporate Edition,Comprehensive
2017,550000,10000,Petrol,Individual,Automatic,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0,Hyundai,Grand,i10 1.2 Kappa Sportz AT,Comprehensive
2018,475000,30000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0,Maruti,Celerio,ZXI Optional,Third Party
2017,2825000,22000,Diesel,Dealer,Automatic,First Owner,15.73 kmpl,1968 CC,174.33 bhp,5.0,Audi,Q3,2.0 TDI Quattro Premium Plus,Comprehensive
2020,2125000,5500,Diesel,Dealer,Manual,First Owner,26.8 kmpl,1597 CC,118 bhp,5.0,Honda,Civic,ZX Diesel BSIV,Third Party
2018,3350000,18000,Diesel,Dealer,Automatic,First Owner,19.62 kmpl,1998 CC,190 bhp,5.0,BMW,X1,sDrive20d M Sport,Comprehensive
2018,1800000,20000,Diesel,Dealer,Automatic,First Owner,11.36 kmpl,2755 CC,171.5 bhp,8.0,Toyota,Innova,Crysta 2.8 GX AT 8S BSIV,Comprehensive
2018,540000,7000,Petrol,Dealer,Manual,First Owner,20.3 kmpl,1086 CC,68 bhp,5.0,Hyundai,Santro,Asta BSIV,Third Party
2018,910000,20000,Diesel,Dealer,Manual,First Owner,17.0 kmpl,2596 CC,80.8 bhp,5.0,Force,Gurkha,Hard Top BS3 4WD,Comprehensive
2019,484999,4875,Petrol,Dealer,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0,Maruti,Celerio,VXI,Third Party
2020,1950000,2700,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1582 CC,126.2 bhp,5.0,Hyundai,Creta,1.6 CRDi AT SX Plus,Comprehensive
2018,950000,58511,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza ZDi,Comprehensive
2015,365000,105000,Diesel,Dealer,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,5.0,Ford,Figo,1.5D Titanium MT,Third Party
2018,900000,26235,Diesel,Dealer,Manual,First Owner,16.55 kmpl,2498 CC,105 bhp,6.0,Mahindra,Thar,CRDe ABS,Comprehensive
2017,919999,26766,Diesel,Dealer,Manual,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5.0,Tata,Nexon,1.5 Revotorq XZ Plus,Third Party
2020,1900000,1600,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,5.0,MG,Hector,Sharp DCT Dualtone,Comprehensive
2018,2950000,46000,Diesel,Dealer,Manual,First Owner,15.8 kmpl,2148 CC,170 bhp,5.0,Mercedes-Benz,New,C-Class C 220 CDI Elegance MT,Comprehensive
2019,1075000,23000,Diesel,Dealer,Manual,First Owner,17.3 kmpl,1497 CC,121 bhp,7.0,Mahindra,Marazzo,M2 BSIV,Third Party
2017,600000,24522,Petrol,Dealer,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Swift,VXI Optional,Comprehensive
2017,3200000,13663,Diesel,Dealer,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,5.0,BMW,3,Series 320d,Third Party
2019,2600000,11000,Diesel,Dealer,Automatic,First Owner,19.3 kmpl,1968 CC,141 bhp,5.0,Skoda,Octavia,Style Plus 2.0 TDI AT,Comprehensive
2016,839000,63000,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Vitara,Brezza ZDi Plus,Comprehensive
2019,635000,2000,Petrol,Dealer,Manual,First Owner,16.2 kmpl,1199 CC,74 bhp,5.0,Volkswagen,Polo,1.2 MPI Comfortline,Third Party
2014,550000,300000,Diesel,Individual,Manual,Third Owner,12.05 kmpl,2179 CC,120 bhp,8.0,Mahindra,Scorpio,VLX 2WD AIRBAG BSIV,Comprehensive
2011,180000,190000,Diesel,Individual,Manual,Third Owner,19.2 kmpl,1461 CC,65 bhp,5.0,Mahindra,Logan,Diesel 1.5 DLE,Third Party
2015,650000,80000,Diesel,Individual,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5.0,Honda,City,i DTEC E,Comprehensive
2011,350000,80000,Petrol,Individual,Manual,Second Owner,16.0 kmpl,1198 CC,90 bhp,5.0,Honda,Jazz,Select Edition Active,Comprehensive
2015,265000,54000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0,Maruti,Alto,K10 LXI,Third Party
2018,330000,30000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5.0,Renault,KWID,1.0 RXT Optional,Comprehensive
2019,395000,5000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,7.0,Maruti,Eeco,7 Seater Standard BSIV,Third Party
2015,700000,58945,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,7.0,Mahindra,TUV,300 T8,Comprehensive
2012,300000,90000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0,Ford,Figo,Diesel Titanium,Comprehensive
2011,650000,375000,Diesel,Individual,Manual,First Owner,12.8 kmpl,2494 CC,102 bhp,8.0,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,Third Party
2013,625000,160000,Diesel,Individual,Manual,Third Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0,Maruti,Ertiga,VDI,Comprehensive
2014,425000,80000,Diesel,Individual,Manual,Second Owner,15.11 kmpl,1598 CC,103.6 bhp,5.0,Volkswagen,Polo,GT TDI,Third Party
2004,55000,50000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,796 CC,37 bhp,4.0,Maruti,800,AC BSII,Comprehensive
2015,250000,80000,Diesel,Individual,Manual,Second Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0,Tata,Indigo,CS LX (TDI) BS-III,Comprehensive
2015,459999,156975,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,9.0,Mahindra,Bolero,2011-2019 Plus AC,Third Party
2017,1594000,5000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,86.79 bhp,5.0,Toyota,Corolla,Altis 1.4 DGL,Comprehensive
2014,300000,50000,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,5.0,Chevrolet,Sail,1.2 LS ABS,Third Party
2018,950000,27620,Diesel,Dealer,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0,Ford,EcoSport,1.5 TDCi Titanium BSIV,Comprehensive
2013,484999,120000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,9.0,Mahindra,Scorpio,LX,Comprehensive
2009,161000,120000,Diesel,Individual,Manual,Third Owner,14.0 kmpl,2498 CC,112 bhp,8.0,Mahindra,Xylo,E8,Third Party
2015,500000,58000,Petrol,Individual,Manual,First Owner,17.19 kmpl,1197 CC,81.86 bhp,5.0,Hyundai,i20,Active 1.2 S,Comprehensive
2012,350000,50000,Petrol,Individual,Manual,First Owner,16.95 kmpl,1498 CC,97.7 bhp,5.0,Nissan,Sunny,XV,Third Party
2017,550000,40000,Petrol,Individual,Automatic,First Owner,20.89 kmpl,1197 CC,81.80 bhp,5.0,Maruti,Ignis,1.2 AMT Alpha BSIV,Comprehensive
2018,850000,7800,Petrol,Individual,Manual,First Owner,17.5 kmpl,1199 CC,88.7 bhp,5.0,Honda,WR-V,i-VTEC VX,Comprehensive
2016,240000,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,Maruti,Alto,800 LXI,Third Party
2011,950000,68000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,7.0,Ford,Endeavour,2.5L 4X2 MT,Comprehensive
2015,423000,60000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0,Maruti,Ertiga,VXI,Third Party
2005,90000,74000,Petrol,Individual,Manual,Second Owner,12.8 kmpl,1396 CC,85 bhp,5.0,Tata,Indigo,GLS,Comprehensive
2011,350000,58000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.1 bhp,7.0,Tata,New,Safari DICOR 2.2 VX 4x2 BS IV,Comprehensive
2011,170000,70000,Petrol,Individual,Manual,Third Owner,19.0 kmpl,998 CC,66.1 bhp,5.0,Maruti,A-Star,Vxi,Third Party
2015,450000,70000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0,Ford,Figo,Aspire 1.2 Ti-VCT Titanium Plus,Comprehensive
2009,150000,110000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0,Hyundai,i10,Magna,Third Party
2016,511000,80000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0,Hyundai,i20,Sportz 1.4 CRDi,Comprehensive
2018,850000,59000,Diesel,Individual,Manual,First Owner,24.2 kmpl,1498 CC,93.87 bhp,7.0,Maruti,Ertiga,1.5 VDI,Comprehensive
2018,250000,110000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,5.0,Tata,Indica,V2 eLS,Third Party
2020,420000,25000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0,Maruti,Celerio,ZXI,Comprehensive
2014,180000,55000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,5.0,Maruti,Alto,800 LXI,Third Party
2015,400000,25000,Diesel,Individual,Manual,First Owner,27.62 kmpl,793 CC,47 bhp,5.0,Maruti,Celerio,ZDi,Comprehensive
2009,150000,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,7.0,Mahindra,Xylo,E4,Comprehensive
2016,500000,143200,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,5.0,Ford,Figo,1.5D Titanium MT,Third Party
2017,1689999,60000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,5.0,Jeep,Compass,2.0 Longitude Option BSIV,Comprehensive
2012,204999,120000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,5.0,Nissan,Micra,Diesel XV Premium,Third Party
2014,459999,145000,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1248 CC,88.5 bhp,5.0,Maruti,Ciaz,VDi Plus,Comprehensive
2017,600000,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0,Hyundai,i20,2015-2017 Magna 1.2,Comprehensive
2019,585000,8000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,5.0,Hyundai,Grand,i10 1.2 Kappa Sportz Dual Tone,Third Party
2012,551000,170000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,7.0,Ford,Endeavour,2.5L 4X2 MT,Comprehensive
2013,525000,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire LDI,Third Party
2012,160000,62000,Petrol,Individual,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,5.0,Maruti,Omni,8 Seater BSIV,Comprehensive
2014,825000,110000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,7.0,Mahindra,XUV500,W8 AWD,Comprehensive
2015,600000,80000,Diesel,Individual,Manual,Second Owner,13.58 kmpl,2499 CC,72.4 bhp,9.0,Chevrolet,Tavera,Neo 3 LS 9 Str BSIII,Third Party
2002,65000,80000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5.0,Maruti,Zen,Base,Comprehensive
2013,550000,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5.0,Maruti,Swift,Dzire VDI,Third Party
2015,650000,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,9.0,Mahindra,Bolero,2011-2019 Plus - AC BSIII,Comprehensive
2019,750000,24000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0,Maruti,Swift,Dzire VDI,Comprehensive
2017,380000,80000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,6.0,Mahindra,KUV,100 mFALCON D75 K8,Third Party
2012,400000,138000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0,Hyundai,Verna,1.6 SX CRDi (O),Comprehensive
